V1,V2,V3
45,977,2018
41,1554,2550
28,923,1068
70,1188,1016
93,380,2185
102,1725,3562
215,1389,1187
22,1797,1774
4,1254,2186
171,335,1489
27,477,2117
93,530,2114
30,399,2818
167,370,5878
52,615,1270
125,531,462
56,614,2944
8,653,1933
94,1382,969
63,347,2362
32,1310,6707
114,957,2224
116,748,6107
23,587,866
73,833,5876
127,289,295
62,1744,773
103,665,1284
81,456,1696
199,1713,67
141,941,5805
54,1135,2085
30,908,417
70,1222,4148
141,1269,758
127,1158,1071
133,1153,1391
23,841,2844
187,621,2349
14,390,1999
38,556,1560
66,761,3684
29,771,2473
24,1305,1404
137,448,1941
27,437,2901
98,369,1683
18,848,3229
8,1074,3688
93,419,3356
54,764,415
14,972,1627
21,1052,4050
15,64,3434
192,588,1425
65,517,1393
26,1996,2246
43,2567,1768
44,1232,3528
23,655,839
100,302,489
29,438,2074
141,1129,1495
56,843,2400
79,603,1697
61,280,1055
83,1917,1893
72,207,2730
63,547,7962
158,1387,5484
137,698,563
136,1620,3276
122,1250,2908
252,743,1417
187,1336,3499
171,1352,1341
11,1309,1479
44,1413,3851
40,290,2872
65,1163,2699
44,866,2640
123,745,3629
55,598,728
57,349,2713
126,1568,1283
17,760,1641
65,142,1747
130,162,962
86,392,1670
80,382,3423
24,1296,3206
203,474,1767
16,520,4602
1,469,2437
19,713,1857
114,909,1675
70,2232,2499
78,467,2415
31,219,576
80,634,2410
40,1010,2981
141,1383,2777
17,769,1791
16,1109,1216
33,1827,2335
60,1515,6829
36,1334,3764
41,236,188
108,1620,3404
141,1054,134
127,245,1052
66,755,1727
81,333,2559
118,527,1027
126,677,3459
117,294,1378
49,791,1725
10,377,4458
32,981,2689
24,1467,2565
42,339,963
40,980,1289
102,1173,3152
55,950,1322
9,769,2985
75,318,1759
165,1052,2228
108,1209,2586
198,388,3989
32,853,4807
115,514,2078
30,455,5819
68,378,1075
87,202,1904
199,1544,4339
179,487,2784
27,1681,1180
143,505,941
82,1080,2484
52,1264,1147
41,554,1613
36,404,1826
32,201,1765
74,721,3690
25,1002,1360
132,468,2679
70,347,3778
48,1023,2292
80,503,3526
223,862,1339
66,874,3781
86,751,288
65,475,2712
77,209,1993
29,968,1157
78,361,2489
112,975,5934
103,1347,5573
166,2089,2255
54,229,1487
162,2032,3436
36,2185,3497
46,782,3843
86,773,3306
63,242,1018
27,1313,2185
120,1461,1729
5,210,1129
95,1760,1622
34,390,4651
45,2612,3857
103,1109,2329
105,903,2598
94,656,739
139,485,2128
180,753,2164
62,781,663
118,355,2603
183,621,951
19,1111,1136
173,799,2676
22,1896,1283
62,524,4107
82,249,2830
42,676,1828
33,856,1128
47,1341,2640
75,816,3567
42,474,3240
26,2636,820
126,2841,2737
20,1197,2413
22,384,2261
91,313,2598
